Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-12-20 07:19:28,false,"Florianópolis Open Water Swimming","2,957","658","01:20:01","117","154","2.5","2:42","1:07","0.0","1467","53","18","-10","23.0","No","00:11:44","6","26.0","01:06:44","01:20:01"
Open Water Swimming,2025-12-18 08:25:05,false,"Florianópolis Open Water Swimming","1,630","527","00:40:01","143","168","3.3","2:27","1:07","0.0","879","50","22","-8","22.0","No","00:03:30.8","4","31.0","00:37:53","00:40:01"
Pool Swim,2025-12-15 13:09:28,false,"Pool Swim","2,500","687","00:45:54","143","161","3.4","1:47","1:26","0.0","978","36","22","--","--","No","00:45:54","1","--","00:44:32","00:46:03"
Open Water Swimming,2025-12-14 07:27:13,false,"Florianópolis Open Water Swimming","3,568","957","01:09:43","145","173","4.0","1:57","1:07","0.0","1625","41","23","-16","23.0","No","00:01:34.8","8","30.0","01:07:14","01:09:43"
Pool Swim,2025-12-12 13:08:10,false,"Pool Swim","3,025","823","00:52:21","146","167","3.7","1:44","1:30","0.0","1203","36","23","--","--","No","00:52:21","1","--","00:52:21","00:52:27"
Open Water Swimming,2025-12-11 08:24:41,false,"Florianópolis Open Water Swimming","1,991","559","00:42:01","140","155","3.3","2:07","1:07","0.0","985","44","23","-10","20.0","No","00:10:05","4","34.0","00:40:05","00:42:01"
Pool Swim,2025-12-10 13:03:13,false,"Pool Swim","3,000","612","00:52:41","123","150","2.4","1:44","1:13","0.0","1163","36","22","--","--","No","00:52:41","1","--","00:52:10","00:52:54"
Pool Swim,2025-12-08 12:59:21,false,"Pool Swim","3,075","834","00:55:58","154","180","4.7","1:45","1:30","0.0","1225","36","23","--","--","No","00:55:58","1","--","00:53:54","00:56:07"
Pool Swim,2025-12-05 12:59:51,false,"Pool Swim","3,150","858","00:55:02","149","177","4.8","1:44","1:04","0.0","1200","36","22","--","--","No","00:55:02","1","--","00:54:47","00:55:10"
Open Water Swimming,2025-12-04 08:29:03,false,"Florianópolis Open Water Swimming","1,978","578","00:45:01","139","157","--","2:17","1:07","0.0","894","45","20","-12","22.0","No","00:09:20.8","4","31.0","00:40:11","00:45:01"
Pool Swim,2025-12-03 13:09:46,false,"Pool Swim","2,700","752","00:45:40","158","177","5.0","1:39","1:04","0.0","973","34","22","--","--","No","00:45:40","1","--","00:44:41","00:45:49"
Pool Swim,2025-11-26 19:46:38,false,"Pool Swim","2,550","592","00:44:33","139","187","3.8","1:42","1:05","0.0","967","35","22","--","--","No","00:44:33","1","--","00:43:19","00:44:41"
Pool Swim,2025-11-24 19:47:25,false,"Pool Swim","2,100","632","00:42:34","160","199","4.8","1:48","1:01","0.0","797","36","21","--","--","No","00:42:34","1","--","00:37:49","00:42:41"
Open Water Swimming,2025-11-21 08:28:41,false,"Florianópolis Open Water Swimming","1,717","621","00:46:22","141","173","3.5","2:42","1:07","0.0","576","49","17","-12","20.0","No","00:05:41.8","4","30.0","00:42:23","00:46:22"
Open Water Swimming,2025-10-31 07:19:54,false,"Florianópolis Open Water Swimming","1,853","523","00:39:34","136","162","3.4","2:08","1:07","0.0","663","41","16","-10","19.0","No","00:07:06.0","4","27.0","00:35:03","00:39:34"
Open Water Swimming,2025-10-29 07:21:48,false,"Florianópolis Open Water Swimming","2,004","593","00:53:38","140","181","4.0","2:41","1:07","0.0","720","49","13","-14","19.0","No","00:00:03.4","5","22.0","00:42:54","00:53:38"
Pool Swim,2025-10-28 13:17:03,false,"Pool Swim","1,125","301","00:24:12","133","156","2.9","2:02","1:10","0.0","482","41","21","--","--","No","00:24:12","1","--","00:22:56","00:24:17"
Pool Swim,2025-10-27 13:11:40,false,"Pool Swim","1,325","284","00:25:01","128","155","3.0","1:51","1:15","0.0","560","38","23","--","--","No","00:25:01","1","--","00:24:31","00:25:06"
Open Water Swimming,2025-10-24 07:17:53,false,"Florianópolis Open Water Swimming","2,004","632","00:46:30","159","210","5.0","2:19","0:55","0.0","714","44","15","-20","18.0","No","00:00:04.4","5","22.0","00:40:41","00:46:30"
Pool Swim,2025-10-22 13:13:53,false,"Pool Swim","2,175","581","00:41:08","148","166","5.0","1:50","1:23","0.0","873","37","22","--","--","No","00:41:08","1","--","00:39:42","00:41:14"
Open Water Swimming,2025-10-22 07:18:08,false,"Florianópolis Open Water Swimming","1,208","300","00:38:32","112","160","3.0","3:11","0:59","0.0","347","55","10","-7","20.0","No","00:05:29.9","3","26.0","00:26:58","00:38:32"
Pool Swim,2025-10-21 13:16:14,false,"Pool Swim","2,175","605","00:40:01","156","169","5.0","1:49","1:11","0.0","893","37","23","--","--","No","00:40:01","1","--","00:39:25","00:40:08"
Open Water Swimming,2025-09-21 08:06:00,false,"Rio de Janeiro Open Water Swimming","8,841","2,517","03:05:20","183","213","5.0","2:06","0:55","0.0","4464","44","24","-36","21.0","No","00:07:27.1","18","35.0","02:59:41","03:05:20"
Pool Swim,2025-09-17 19:47:46,false,"Pool Swim","2,200","521","00:42:58","136","197","3.0","1:45","1:26","0.0","935","37","24","--","--","No","00:42:58","1","--","00:38:22","00:43:04"
Pool Swim,2025-09-16 19:48:19,false,"Pool Swim","1,475","441","00:37:25","142","199","3.4","1:57","1:30","0.0","647","40","23","--","--","No","00:37:25","1","--","00:28:39","00:40:15"
Pool Swim,2025-09-15 19:34:47,false,"Pool Swim","3,200","803","00:54:56","156","172","4.2","1:42","1:21","0.0","1272","35","23","--","--","No","00:54:56","1","--","00:54:23","00:55:06"
Open Water Swimming,2025-09-15 07:13:53,false,"Florianópolis Open Water Swimming","2,071","555","00:45:37","142","188","3.2","2:12","0:46","0.0","446","38","10","-11","18.0","No","00:00:51.8","5","27.0","00:38:13","00:52:11"
